versionid                           ,activityid                          ,activityname                                                                                                                                                                                            ,activityexternalkey                                                                                                                                                                                     ,journeyactivityobjectid             ,activitytype                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
4B268BDC-469D-4476-A5C4-0D20CBAC7746,F47C9D12-552B-4DD5-85EA-FA4789E8E2E7,STOWAIT-4 replaced with NOOP                                                                                                                                                                            ,STOWAIT-4                                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,NOOP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
4B268BDC-469D-4476-A5C4-0D20CBAC7746,B52354E8-0D50-41D6-9061-FB96F33A0219,SIMULATION 4b268bdc-469d-4476-a5c4-0d20cbac7746 Event Definition                                                                                                                                        ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,EMAILAUDIENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
4B268BDC-469D-4476-A5C4-0D20CBAC7746,48E90727-B726-4D87-8939-FDFC8C3BA7B0,Customer Purchased?                                                                                                                                                                                     ,MULTICRITERIADECISIONV2-7                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,MULTICRITERIADECISION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CE382F47-B6DD-4963-AF11-0D6F764FE927,FDA45C6D-6D99-4FDB-B8D2-10007F2129FA,PROMO_20230109_PUSH_NewArrivals_IOS                                                                                                                                                                     ,PUSHNOTIFICATIONACTIVITY-4                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CE382F47-B6DD-4963-AF11-0D6F764FE927,B5F0581A-0399-40C5-BC82-13481CC88B1B,NULL                                                                                                                                                                                                    ,MULTICRITERIADECISIONV2-1                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,MULTICRITERIADECISION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CE382F47-B6DD-4963-AF11-0D6F764FE927,5685D6FA-1DFA-4D32-B4DA-3DE669EC3821,Start Activity                                                                                                                                                                                          ,efd70017-ef24-468c-92da-44e3fc341949                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CE382F47-B6DD-4963-AF11-0D6F764FE927,C2EECB14-3505-4AD7-A06E-40532C12B278,NULL                                                                                                                                                                                                    ,RANDOMSPLITV2-1                                                                                                                                                                                         ,00000000-0000-0000-0000-000000000000,RANDOMSPLIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
CE382F47-B6DD-4963-AF11-0D6F764FE927,ABBD36F9-8C27-4113-A8AB-50A942CD4C4D,1 minute                                                                                                                                                                                                ,WAITBYDURATION-3                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CE382F47-B6DD-4963-AF11-0D6F764FE927,D4836280-1A45-4B23-A9A9-553814B00763,Stop                                                                                                                                                                                                    ,ece50bf3-6801-4808-be61-de27480bc6f2                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CE382F47-B6DD-4963-AF11-0D6F764FE927,D4E41B45-E718-468C-9C4A-5C8A25098B49,Stop                                                                                                                                                                                                    ,168e71ff-20ec-42dd-8d34-912c2ca3fb81                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CE382F47-B6DD-4963-AF11-0D6F764FE927,C6EDCE2A-1FAB-4C4D-B716-6A58E0CBDF05,1 minute                                                                                                                                                                                                ,WAITBYDURATION-2                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CE382F47-B6DD-4963-AF11-0D6F764FE927,611FFB0C-00EF-42D4-A183-89DAD7C12563,Stop                                                                                                                                                                                                    ,2996e095-3fc7-4521-961e-b31cca607158                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CE382F47-B6DD-4963-AF11-0D6F764FE927,067C7DE1-901A-422A-8E88-9BB206997D09,PROMO_20230109_PUSH_NewArrivals_IOS_Rich                                                                                                                                                                ,PUSHNOTIFICATIONACTIVITY-1                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CE382F47-B6DD-4963-AF11-0D6F764FE927,F023635A-A4FF-4086-9789-9D5D5BB8635F,1 minute                                                                                                                                                                                                ,WAITBYDURATION-1                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CE382F47-B6DD-4963-AF11-0D6F764FE927,E86EAEF7-9C24-4617-B05E-C582236F4703,F21 Mobile Push Android7 iOS9                                                                                                                                                                           ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,ContactAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CE382F47-B6DD-4963-AF11-0D6F764FE927,B1832523-BF55-43B7-B714-E5ABDECE4BF5,PROMO_20230109_PUSH_NewArrivals_Android                                                                                                                                                                 ,PUSHNOTIFICATIONACTIVITY-2                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
1B6751B9-139E-4ED1-8564-0E386A6F4386,D4A3710A-1BEE-4901-B15F-0D8AFDE546E5,NULL                                                                                                                                                                                                    ,RANDOMSPLITV2-1                                                                                                                                                                                         ,00000000-0000-0000-0000-000000000000,RANDOMSPLIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
1B6751B9-139E-4ED1-8564-0E386A6F4386,5DADCE46-1204-4117-86EC-24930840F28F,NULL                                                                                                                                                                                                    ,MULTICRITERIADECISIONV2-1                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,MULTICRITERIADECISION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
1B6751B9-139E-4ED1-8564-0E386A6F4386,BEDC9537-E7A6-445F-8AB2-5540D8225867,1 minute                                                                                                                                                                                                ,WAITBYDURATION-3                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
1B6751B9-139E-4ED1-8564-0E386A6F4386,91DD0545-A324-4CF8-9C60-5F58089C18E5,Stop                                                                                                                                                                                                    ,c864132d-a39c-4772-9d9c-09dbfa1d4e27                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
1B6751B9-139E-4ED1-8564-0E386A6F4386,66504273-3174-46B1-B970-31E7290DA691,PROMO_20221209_PUSH_JacketsOuterwear30Off_IOS                                                                                                                                                           ,PUSHNOTIFICATIONACTIVITY-4                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
1B6751B9-139E-4ED1-8564-0E386A6F4386,8BEA5C53-773B-4ADD-86B8-414DAD926EC7,PROMO_20221209_PUSH_JacketsOuterwear30Off_IOS_Rich                                                                                                                                                      ,PUSHNOTIFICATIONACTIVITY-1                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
1B6751B9-139E-4ED1-8564-0E386A6F4386,9910062B-E312-49DD-9850-49B7E4B7CA19,PROMO_20221209_PUSH_JacketsOuterwear30Off_Android                                                                                                                                                       ,PUSHNOTIFICATIONACTIVITY-2                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
1B6751B9-139E-4ED1-8564-0E386A6F4386,579653FE-CC1B-4936-B46C-63707AE46809,Stop                                                                                                                                                                                                    ,52a2eab1-364e-494d-8a42-d9824cc3c600                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
1B6751B9-139E-4ED1-8564-0E386A6F4386,569F3A18-5855-4AF7-996A-79115321DF69,Stop                                                                                                                                                                                                    ,a56b41f6-7add-45fa-9e74-d3cee1473bbe                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
1B6751B9-139E-4ED1-8564-0E386A6F4386,8ED4F736-E649-4ADA-AF34-7EAE02F066BB,Start Activity                                                                                                                                                                                          ,3121ccf3-21ba-42b7-933c-09ecdc6a2478                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
1B6751B9-139E-4ED1-8564-0E386A6F4386,F1511D15-17AB-4417-9B78-ACD1C91E2523,F21 Mobile Push Android7 iOS9                                                                                                                                                                           ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,ContactAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
1B6751B9-139E-4ED1-8564-0E386A6F4386,40107D2C-DB80-4871-ADF6-BAA97B03CD34,1 minute                                                                                                                                                                                                ,WAITBYDURATION-1                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
1B6751B9-139E-4ED1-8564-0E386A6F4386,B4F6DC96-EFEC-40C7-9ACD-C5C867080C60,1 minute                                                                                                                                                                                                ,WAITBYDURATION-2                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
B1C5416E-D619-4A29-A266-0E66D9C96BCE,D52E0BC7-26F9-493B-A3DF-0205E8BED98D,Start Activity                                                                                                                                                                                          ,2dfb3d67-f383-41f6-b66e-e943ee2b88e9                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,StartActivity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
B1C5416E-D619-4A29-A266-0E66D9C96BCE,892F48EA-4252-442E-A971-057EA07C1CEF,PROMO_20230117_PUSH_Activewear_IOS_Rich                                                                                                                                                                 ,PUSHNOTIFICATIONACTIVITY-1                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B1C5416E-D619-4A29-A266-0E66D9C96BCE,85C2E2E6-A769-4FA5-B526-1A46B8757751,F21 Mobile Push Android7 iOS9                                                                                                                                                                           ,TRIGGER                                                                                                                                                                                                 ,00000000-0000-0000-0000-000000000000,ContactAudience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
B1C5416E-D619-4A29-A266-0E66D9C96BCE,9D0FE632-C8D1-4D72-899A-1FB07200418B,NULL                                                                                                                                                                                                    ,RANDOMSPLITV2-1                                                                                                                                                                                         ,00000000-0000-0000-0000-000000000000,RANDOMSPLIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
B1C5416E-D619-4A29-A266-0E66D9C96BCE,88B5749A-E19F-4448-872E-2186C647F38C,1 minute                                                                                                                                                                                                ,WAITBYDURATION-2                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
B1C5416E-D619-4A29-A266-0E66D9C96BCE,ACC3C3BD-7AD9-4237-84B2-396C7E00864B,Stop                                                                                                                                                                                                    ,fb075067-d208-4527-91da-331ed5ec9962                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B1C5416E-D619-4A29-A266-0E66D9C96BCE,80FDD045-048C-494C-A6AE-3F8B5BD86342,PROMO_20230117_PUSH_Activewear_Android                                                                                                                                                                  ,PUSHNOTIFICATIONACTIVITY-2                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B1C5416E-D619-4A29-A266-0E66D9C96BCE,573174FE-837F-44D6-8ED3-57F8ED4FD802,PROMO_20230117_PUSH_Activewear_IOS                                                                                                                                                                      ,PUSHNOTIFICATIONACTIVITY-4                                                                                                                                                                              ,00000000-0000-0000-0000-000000000000,PUSHNOTIFICATIONACTIVITY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B1C5416E-D619-4A29-A266-0E66D9C96BCE,765EF2A1-6B30-464D-A0B4-89220D05E6A4,Stop                                                                                                                                                                                                    ,6ff15c8a-499a-43f5-9cbe-2f02200da5e8                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B1C5416E-D619-4A29-A266-0E66D9C96BCE,8884BB67-3B78-4C85-9182-8C98D0AA690D,Stop                                                                                                                                                                                                    ,50c61725-3b7b-4819-90f1-f127eb83631f                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B1C5416E-D619-4A29-A266-0E66D9C96BCE,B9B3AB26-D523-4964-88F7-A26356FB980F,1 minute                                                                                                                                                                                                ,WAITBYDURATION-3                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
B1C5416E-D619-4A29-A266-0E66D9C96BCE,77417B4D-622F-4F22-80ED-B63253387E26,NULL                                                                                                                                                                                                    ,MULTICRITERIADECISIONV2-1                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,MULTICRITERIADECISION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
B1C5416E-D619-4A29-A266-0E66D9C96BCE,85749C1A-2568-41E3-8DBF-D45F06FCC64A,1 minute                                                                                                                                                                                                ,WAITBYDURATION-1                                                                                                                                                                                        ,00000000-0000-0000-0000-000000000000,WAIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
1CAE99A1-0AFD-4BBA-9943-0FB42AB066F1,6979F3CC-6A34-4105-9B78-1B03ED176B06,NULL                                                                                                                                                                                                    ,MULTICRITERIADECISIONV2-1                                                                                                                                                                               ,00000000-0000-0000-0000-000000000000,MULTICRITERIADECISION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
1CAE99A1-0AFD-4BBA-9943-0FB42AB066F1,E2DC4F31-0DF8-4E76-AAC8-3041E0DD4747,Stop                                                                                                                                                                                                    ,de259d17-7488-4a2f-91c8-7ac0f82db22a                                                                                                                                                                    ,00000000-0000-0000-0000-000000000000,<null>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
